
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
      0     0.00      13.23       0.84    3121   1 coreautha
      0     0.00       0.00       0.00     610 610 coreauthd
      0     0.00       7.73       4.55     679   1 coreauthd
      0     0.00       0.00       0.00     400 400 corebrightnessd
      0     0.00       0.00       0.00     367 367 coreduetd
      0     0.00       0.00       0.00     615 615 corekdld
      0     0.00      10.64       1.25     655   1 CoreLocationAgent
      0     0.00       0.00       0.00     385 385 corerepaird
      0     0.00       0.00       0.00     412 412 coreservicesd
      0     0.00      13.38       6.59     623   1 CoreServicesUIAgent
      0     0.00       6.05       3.44     827   1 corespeechd
      0     0.00       0.00       0.00     355 355 corespeechd_system
      0     0.00      87.80      56.67     705   1 corespotlightd
      0     0.00       0.00       0.00     825 825 coresymbolicationd
      0     0.00       0.00       0.00     729 729 countryd
      0     0.00      93.88      86.78   31552   1 CptHost
      0     0.00       0.00       0.00    1122 …22 CrashReporterSupportHelper
      0     0.00       6.38       0.01   31590 …90 CredentialProviderExtensionHelper
      0     0.00       0.00       0.00     432 432 cryptexd
      0     0.00       0.02       0.03    9503 …03 CSExattrCryptoService
      0     0.00       0.02       0.01     649   1 csnameddatad
      0     0.00       0.00       0.00     851 851 ctkahp
      0     0.00       2.17       0.06     867   1 ctkahp
      0     0.00       4.81       1.23     673   1 ctkd
      0     0.00       0.00       0.00     685 685 ctkd
      0     0.00      21.14      48.21     759   1 CursorUIViewService
      0     0.00       0.00       0.00    1008 …08 CVMServer
      0     0.00       0.00       0.00     384 384 dasd
      0     0.00      11.53       3.42    1217   1 dataaccessd
      0     0.00       0.00       0.00   19829 …29 DataDetectorsSourceAccess
      0     0.00       9.39      11.95     702   1 deleted
      0     0.00       0.00       0.00     811 811 deleted_helper
      0     0.00       3.55       0.39    3327   1 devicecheckd
      0     0.00       0.00       0.00     722 722 deviceinterfaced
      0     0.00       2.47       0.17     974   1 diagnosticextensionsd
      0     0.00       6.61       1.31     847   1 diagnostics_agent
      0     0.00       0.00       0.00     390 390 dirhelper
      0     0.00       0.00       0.00     364 364 diskarbitrationd
      0     0.00       0.00       0.00    1227 …27 DiskManagementSubscriber
      0     0.00       0.02       0.02   12754   1 DiskUnmountWatcher
      0     0.00       0.00       0.00     387 387 distnoted
      0     0.00       0.00       0.00     433   1 distnoted
      0     0.00       0.00       0.00     456   1 distnoted
      0     0.00       0.00       0.00     488   1 distnoted
      0     0.00       0.00       0.00     530   1 distnoted
      0     0.00       0.00       0.00     545   1 distnoted
      0     0.00       0.00       0.00     577   1 distnoted
      0     0.00       0.00       0.00     582   1 distnoted
      0     0.00       0.00       0.00     586   1 distnoted
      0     0.00       4.75      36.60     612   1 distnoted
      0     0.00       0.00       0.00     647   1 distnoted
      0     0.00       0.00       0.00     799   1 distnoted
      0     0.00       0.00       0.00     905   1 distnoted
      0     0.00       0.00       0.00     924   1 distnoted
      0     0.00       0.00       0.00     956   1 distnoted
      0     0.00       0.00       0.00     972   1 distnoted
      0     0.00       0.00       0.00     988   1 distnoted
      0     0.00       0.00       0.00    1054   1 distnoted
      0     0.00       0.00       0.00    1220   1 distnoted
      0     0.00       0.00       0.00   20299   1 distnoted
      0     0.00       6.78       0.33     664   1 dmd
      0     0.00       0.00       0.00   30950 550 dnscryptproxy
      0     0.00      27.66      42.74     668   1 Dock
      0     0.00      12.41       2.33     703   1 donotdisturbd
      0     0.00       0.89       0.17   20259   1 dprivacyd
      0     0.00       0.00       0.00   20289 …89 dprivacyd
      0     0.00      64.80     891.99     749   1 duetexpertd
      0     0.00       0.00       0.00   31391 …91 EAUpdaterService
      0     0.00       0.00       0.00     726 726 ecosystemanalyticsd
      0     0.00       0.00       0.00    1112 …12 ecosystemd
      0     0.00       0.00       0.00     424 424 eligibilityd
      0     0.00      25.75       3.29     784 784 EmojiFunctionRowIM_Extension
      0     0.00       0.00       0.00     345 345 endpointsecurityd
      0     0.00       6.77       0.12    1655   1 EscrowSecurityAlert
      0     0.00       0.91       0.02     699 699 extensionkitservice
      0     0.00      10.00       4.56     746 746 extensionkitservice
      0     0.00       0.86       0.03     761 761 extensionkitservice
      0     0.00       5.95       0.27     767 767 extensionkitservice
      0     0.00       0.86       0.06    1071 …71 extensionkitservice
      0     0.00       0.84       0.21    1415 …15 extensionkitservice
      0     0.00       6.23       0.97    3329 …29 extensionkitservice
      0     0.00       0.86       0.05   22757 …57 extensionkitservice
      0     0.00       0.00       0.00     989 989 fairplayd
      0     0.00       0.00       0.00    1068 …68 fairplaydeviceidentityd
      0     0.00       6.39       1.00     730   1 familycircled
      0     0.00       0.88       0.04     737   1 FamilyControlsAgent
      0     0.00      13.53       1.06   22765 …65 FamilySettings
      0     0.00      12.73       0.69     808   1 FeatureAccessAgent
      0     0.00       1.89       0.17    1403   1 feedbackd
      0     0.00       0.00       0.00     681 681 filecoordinationd
      0     0.00      16.38      20.66     693   1 fileproviderd
      0     0.00       1.86       0.72    1759   1 filevaultd
      0     0.00       3.59       0.47     736   1 financed
      0     0.00     109.27     274.72     674   1 Finder
      0     0.00       0.00       0.00     526 526 findmybeaconingd
      0     0.00       0.00       0.00     491 491 findmydeviced
      0     0.00       5.16       0.34     706   1 findmylocateagent
      0     0.00       0.00       0.00     853 853 FindMyMacd
      0     0.00       2.39       0.12     755   1 followupd
      0     0.00       6.97       0.30   22764 …64 FollowUpSettingsExtension
      0     0.00      11.42      43.84     670   1 fontd
      0     0.00       0.80       0.57     678   1 fontworker
      0     0.00       0.95       0.07     819   1 frauddefensed
      0     0.00       0.00       0.00     336 336 fseventsd
      0     0.00       0.00       0.00     409 409 fskitd
      0     0.00       0.02       0.02    1191   1 fudHelperAgent
      0     0.00       2.62       2.77     976   1 gamecontrolleragentd
      0     0.00       0.00       0.00     618 618 gamecontrollerd
      0     0.00       0.00       0.00     548 548 gamepolicyd
      0     0.00      11.64       1.43     735   1 generativeexperiencesd
      0     0.00       6.02       0.26    1391   1 geoanalyticsd
      0     0.00       2.50       0.04     991   1 geodMachServiceBridge
      0     0.00       1.11       0.09    1419 …19 GMSSELFIngestor
      0     0.00     206.27     544.23   13433   1 Google Chrome
      0     0.00      46.17     794.96   13440   1 Google Chrome Helper
      0     0.00      72.45     124.03   13441   1 Google Chrome Helper
      0     0.00      10.88       6.13   13442   1 Google Chrome Helper
      0     0.00      13.89     317.47   17079   1 Google Chrome Helper
      0     0.00      18.52       3.30   17362   1 Google Chrome Helper (Plugin)
      0     0.00     135.64     331.08   13457   1 Google Chrome Helper (Renderer)
      0     0.00      62.30      86.35   16584   1 Google Chrome Helper (Renderer)
      0     0.00      39.86      14.53   17352   1 Google Chrome Helper (Renderer)
      0     0.00      11.89       0.87   18182   1 Google Chrome Helper (Renderer)
      0     0.00      68.77       6.67   19076   1 Google Chrome Helper (Renderer)
      0     0.00      56.67     101.94   21496   1 Google Chrome Helper (Renderer)
      0     0.00      60.67     646.55   21768   1 Google Chrome Helper (Renderer)
      0     0.00      13.31       0.75   21769   1 Google Chrome Helper (Renderer)
      0     0.00      53.81      14.97   21771   1 Google Chrome Helper (Renderer)
      0     0.00      79.34     657.95   21803   1 Google Chrome Helper (Renderer)
      0     0.00      17.77       2.18   27071   1 Google Chrome Helper (Renderer)
      0     0.00      15.14       0.79   27135   1 Google Chrome Helper (Renderer)
      0     0.00      63.27      58.48   27497   1 Google Chrome Helper (Renderer)
      0     0.00      28.88       1.55   27537   1 Google Chrome Helper (Renderer)
      0     0.00     117.00     278.01   27805   1 Google Chrome Helper (Renderer)
      0     0.00      54.12      11.35   27903   1 Google Chrome Helper (Renderer)
      0     0.00      26.58       0.39   27965   1 Google Chrome Helper (Renderer)
      0     0.00      83.52       4.89   27966   1 Google Chrome Helper (Renderer)
      0     0.00       9.36       0.20   28565   1 Google Chrome Helper (Renderer)
      0     0.00       0.00       0.00   20255 …55 griddatad
      0     0.00       0.00       0.00     598 598 GSSCred
      0     0.00       6.62       0.27   22762 …62 HeadphoneSettingsExtension
      0     0.00      13.16       2.94     826   1 heard
      0     0.00       0.00       0.00     425 425 hidd
      0     0.00      25.53       6.14     783   1 homed
      0     0.00      32.78       0.42   31170   1 homeenergyd
      0     0.00       1.17       0.11     999   1 homeeventsd
      0     0.00       0.00       0.00     798 798 HostInferenceProviderService
      0     0.00       5.05       0.20     834   1 icdd
      0     0.00       5.34      19.89    1157   1 icloudmailagent
      0     0.00      12.95       0.76     797   1 iCloudNotificationAgent
      0     0.00      25.89      13.42     690   1 iconservicesagent
      0     0.00       0.00       0.00     362 362 iconservicesd
      0     0.00      24.77       8.04     660   1 identityservicesd
      0     0.00       1.09       0.06    1418 …18 IFTelemetrySELFIngestor
